"","Marital.status2","Marital.statusOthers","Application.mode12","Application.mode14","Application.mode8","Application.modeOthers","Application.order","Course2","Course3","Course4","Course5","Course6","Course7","Course8","Course9","Course10","Course11","Course12","Course13","Course14","Course15","Course16","Course17","Daytime.evening.attendance1","Previous.qualification12","Previous.qualification14","Previous.qualificationOthers","Nacionality14","Nacionality9","NacionalityOthers","Mother.s.qualification13","Mother.s.qualification22","Mother.s.qualification23","Mother.s.qualification3","Mother.s.qualificationOthers","Father.s.qualification14","Father.s.qualification24","Father.s.qualification27","Father.s.qualification28","Father.s.qualification3","Father.s.qualificationOthers","Mother.s.occupation3","Mother.s.occupation4","Mother.s.occupation5","Mother.s.occupation6","Mother.s.occupation8","Mother.s.occupationOthers","Father.s.occupation11","Father.s.occupation4","Father.s.occupation5","Father.s.occupation6","Father.s.occupation7","Father.s.occupation8","Father.s.occupation9","Father.s.occupationOthers","Displaced1","Educational.special.needs1","Debtor1","Tuition.fees.up.to.date1","Gender1","Scholarship.holder1","Age.at.enrollment","International1","Curricular.units.1st.sem..credited.","Curricular.units.1st.sem..enrolled.","Curricular.units.1st.sem..evaluations.","Curricular.units.1st.sem..approved.","Curricular.units.1st.sem..grade.","Curricular.units.1st.sem..without.evaluations.","Curricular.units.2nd.sem..credited.","Curricular.units.2nd.sem..enrolled.","Curricular.units.2nd.sem..evaluations.","Curricular.units.2nd.sem..approved.","Curricular.units.2nd.sem..grade.","Curricular.units.2nd.sem..without.evaluations.","Unemployment.rate","Inflation.rate","GDP","TargetGraduate"
"1",0,0,0,0,1,0,0.666666666666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0.0377358490566038,0,0,0.230769230769231,0.133333333333333,0.230769230769231,0.732891832229581,0,0,0.260869565217391,0.242424242424242,0.3,0.706730769230769,0,0.372093023255814,0.488888888888889,0.766182298546896,1
"2",0,1,0,0,0,1,0.166666666666667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0.226415094339623,0,0.1,0.269230769230769,0.222222222222222,0.192307692307692,0.63046357615894,0,0.0526315789473684,0.347826086956522,0.303030303030303,0.25,0.592307692307692,0,0.732558139534884,0.111111111111111,0.640686922060766,0
"3",0,0,1,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0.150943396226415,0,0,0.269230769230769,0.155555555555556,0.0769230769230769,0.529801324503311,0,0,0.304347826086957,0.212121212121212,0,0,0,0.918604651162791,0.8,0,0
"4",0,0,0,1,0,0,0.333333333333333,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0.679245283018868,0,0.2,0.269230769230769,0.355555555555556,0.230769230769231,0.582781456953642,0,0.105263157894737,0.304347826086957,0.272727272727273,0.35,0.592307692307692,0,0.209302325581395,0,0.124174372523118,1
"5",0,0,0,1,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0.0566037735849057,0,0,0.269230769230769,0.177777777777778,0.269230769230769,0.719772942289499,0,0,0.347826086956522,0.242424242424242,0.4,0.790865384615385,0,0.918604651162791,0.8,0,1
"6",0,0,0,0,0,0,0.666666666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0.0377358490566038,0,0,0.192307692307692,0.111111111111111,0.192307692307692,0.720529801324503,0,0,0.217391304347826,0.151515151515152,0.25,0.786153846153846,0,0.372093023255814,0.488888888888889,0.766182298546896,1
"7",0,0,0,0,1,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.0188679245283019,0,0,0.230769230769231,0,0,0,0,0,0.260869565217391,0,0,0,0,0.918604651162791,0.8,0,0
"8",0,0,0,0,1,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0.0754716981132075,0,0,0.230769230769231,0.222222222222222,0.230769230769231,0.629139072847682,0,0,0.260869565217391,0.242424242424242,0.25,0.646153846153846,0,0.406976744186047,0.311111111111111,0.803170409511229,1
"9",0,0,0,0,0,0,0.666666666666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0.0188679245283019,0,0,0.230769230769231,0.155555555555556,0.230769230769231,0.768211920529801,0,0,0.260869565217391,0.181818181818182,0.3,0.816666666666667,0,0.209302325581395,0,0.124174372523118,1
"10",0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0.0566037735849057,0,0,0.269230769230769,0.2,0.269230769230769,0.746666666666667,0,0,0.347826086956522,0.242424242424242,0.4,0.807692307692308,0,0.406976744186047,0.311111111111111,0.803170409511229,1
"11",0,0,0,0,0,1,0.666666666666667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.0188679245283019,0,0,0.307692307692308,0.177777777777778,0.307692307692308,0.694569536423841,0,0,0.347826086956522,0.242424242424242,0.4,0.705923076923077,0,0.209302325581395,0,0.124174372523118,1
"12",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0566037735849057,0,0,0.192307692307692,0.177777777777778,0.153846153846154,0.635761589403974,0,0,0.217391304347826,0.242424242424242,0.25,0.603076923076923,0,0.406976744186047,0.311111111111111,0.803170409511229,1
